pot_id,gt,spcs,comp,timestamp_start,fDOY,flux_CH4,R2_CH4,p_CH4,chamber,air_temp_average,air_temp_se,salinity,soil_temp,water_to_pot
,,,,,,umol/m2/day,,,,°C,,ppt,°C,cm
fresh_1_1_3,cm4,comp,1,9/28/21 7:45,270.3229977,597.186850735152,0.991099312240921,1.49030723925299e-266,B,19.99,0.00339026717146478,4.24,17,42.5
fresh_1_4_1,ca5,scam,0,9/28/21 7:54,270.3300116,38701.6292484359,0.995507399479566,3.58475462537993e-253,B,20.3226851851852,0.00285616501024216,4.24,18.4,21.5
fresh_1_4_3,ca1,scam,0,9/28/21 8:06,270.3384954,6869.39913299334,0.976758958098995,1.04092043887315e-163,B,20.853,0.00353802034189997,4.24,18.4,21
fresh_1_4_4,ba7,scam,0,9/28/21 8:14,270.3434954,26052.1284298894,0.985402673432302,7.22443908773894e-216,B,21.3302127659574,0.00412455944007215,4.24,18.3,21.5
fresh_1_5_1,cm6,scam,0,9/28/21 8:23,270.3495023,29057.3301446766,0.964221908505506,2.68655209443156e-176,B,21.9728395061728,0.00707159775623948,4.24,18.6,22
fresh_1_5_2,ba1,comp,1,9/28/21 8:32,270.3555556,33910.6509693941,0.98853156654645,2.96439387504748e-323,B,22.5738738738739,0.00578719695541233,4.24,18.8,22.5
fresh_1_5_3,cm2,scam,0,9/28/21 8:42,270.3629977,39087.6787326426,0.997314242610602,0,B,22.8242307692308,0.00266244201311739,4.15,18.9,23
fresh_1_6_1,ca6,comp,1,9/28/21 8:52,270.3694444,29905.4335021251,0.997056027225363,1.37177483925733e-143,B,23.3473684210526,0.00469708513664777,4.15,19.5,23.5
fresh_1_6_2,bm2,scam,0,9/28/21 9:02,270.3770023,53189.635527976,0.999049553567172,0,B,23.7973977695167,0.000972478455501442,4.15,21.4,23.5
fresh_1_6_3,cm1,scam,0,9/28/21 9:15,270.3859954,46238.9210382739,0.995145134221699,1.13728841294576e-301,B,24.0731800766284,0.00274750519528015,4.15,22,23
fresh_1_6_4,bm7,comp,1,9/28/21 9:33,270.3990046,28102.6683524908,0.992599928117979,3.56201689158342e-249,B,24.0119658119658,0.00212627194004072,4.15,21.1,26
fresh_1_1_8,ca2,comp,1,9/28/21 9:42,270.4048958,3930.01780686717,0.98998837676541,5.44850019518122e-312,B,24.4490384615385,0.00478289424519092,4.07,19.7,45.5
fresh_1_4_5,bm7,scam,0,9/28/21 9:52,270.4120023,16674.4208472049,0.986982991936914,2.95443165802965e-245,B,24.7976923076923,0.00544788657563705,4.07,21.5,25
fresh_1_5_5,bm6,comp,1,9/28/21 10:05,270.4204977,28680.8352495986,0.998307495543232,0,B,25.3901694915254,0.00173637744590744,4.07,21.7,25.5
fresh_1_5_8,cm2,scam,0,9/28/21 10:14,270.4270023,50397.960009721,0.996170782795937,8.27420448455803e-314,B,25.5303846153846,0.00375592105256447,4.07,20.5,27
fresh_1_6_5,cm4,scam,0,9/28/21 10:26,270.4354977,32964.4306421822,0.934324993400572,4.17195618742881e-129,B,25.8520737327189,0.00339914179842343,4.07,26.4,28
fresh_1_6_8,bm5,comp,1,9/28/21 10:43,270.4465972,36884.7577729944,0.940671812892633,9.20601596426901e-182,B,25.3589830508475,0.00286861079314665,3.81,23.2,28
fresh_2_1_1,ba7,scam,0,9/28/21 11:49,270.4923611,13952.7651204055,0.99700648085886,0,B,26.2428571428571,0.00446447527653349,3.55,23.3,53
fresh_2_1_4,ba7,comp,1,9/28/21 11:57,270.4984954,4583.0119834249,0.995731384620185,3.08556982849522e-298,B,26.1753968253968,0.00271853697160594,3.55,24.9,52.5
fresh_2_3_3,ca2,scam,0,9/28/21 12:06,270.505,10157.5469261253,0.998299775780427,0,B,26.2707692307692,0.00418222821898188,3.55,26,53.5
fresh_2_5_1,ca5,comp,1,9/28/21 12:17,270.5125,42093.5004354514,0.998641069664344,0,B,26.5230769230769,0.00261798644146591,3.55,23.2,37.5
fresh_2_5_2,ba2,scam,0,9/28/21 12:28,270.5201042,35416.0164544172,0.998433676533156,0,B,26.4757692307692,0.00266244201311748,3.55,23.6,41
fresh_2_5_3,ba4,comp,1,9/28/21 12:38,270.5270023,35300.9597729624,0.996816877326501,0,B,26.3617161716172,0.00279707233569607,3.55,23.8,41
fresh_2_5_4,ba4,scam,0,9/28/21 12:49,270.5346065,47794.2348884125,0.995690288067846,1.1793375622038e-316,B,26.0708955223881,0.00277992882735002,3.25,25.5,42.5
fresh_2_6_1,bm2,comp,1,9/28/21 13:02,270.5434954,26736.4827584132,0.972934008841506,1.05720601066259e-231,B,25.4722033898305,0.00659485227433889,3.25,28.4,43
fresh_2_6_3,ba3,scam,0,9/28/21 13:10,270.55,27564.4884224427,0.962956928525372,1.15654933534599e-143,B,24.99,0.00212664361502504,3.25,28.6,44
fresh_2_6_4,ba4,scam,0,9/28/21 13:19,270.5570023,30409.3127495901,0.940044502751712,1.23867803633396e-77,B,24.8,0,3.25,27.6,44.5
fresh_2_2_5,bm2,scam,0,9/28/21 13:34,270.5670023,4150.95142785555,0.990567009649287,4.03112681143658e-176,B,24.9477011494253,0.00379740958713409,3.25,26.5,61.5
fresh_2_2_8,cm4,scam,0,9/28/21 13:43,270.5715278,5548.73824385325,0.985710687197009,6.93492117672672e-278,B,25.6611295681063,0.00943311005463261,3.25,28.3,63
fresh_2_3_5,bm2,comp,1,9/28/21 13:53,270.5790046,3210.47233943817,0.998620958915105,0,B,26,0,2.9,26.6,62
